,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
0,Tom Brady|QB|217.8055556665643,Neal Sterling|TE|130.88715064571895,Jordan Leggett|TE|93.44839313219175,Mo Alie-Cox|TE|124.4756069934149,Mike Gesicki|TE|108.14839313219176,Dan Arnold|TE|108.14839313219176,Orson Charles|TE|127.62904425393434,Ben Koyack|TE|132.26041871366556,Erik Swoope|TE|118.90480971155063,Hayden Hurst|TE|123.68267366008156,Jordan Akins|TE|119.41574376560469,David Morgan|TE|128.48063865378552
1,Jamaal Williams|RB|116.12379537728799,Josh Adams|RB|128.49203797593114,Zach Line|RB|134.71790223259904,Royce Freeman|RB|134.4731442176949,Anthony Sherman|RB|136.3074639125381,Gus Edwards|RB|132.3435990504489,Derek Watt|RB|129.82149152508487,Elijah McGuire|RB|135.60121301599642,Drew Brees|QB|231.18403005519983,Russell Wilson|QB|244.22042558735566,Blake Bortles|QB|186.252341134978,Aaron Rodgers|QB|231.22131152594648
2,Justin Jackson|RB|134.04258525432465,Roosevelt Nix|RB|133.37610613774152,Tyler Ervin|RB|130.11667021029265,Tommy Bohanon|RB|131.69310995797912,Alvin Kamara|RB|134.08732309035074,Kareem Hunt|RB|138.06248892953462,Jaylen Samuels|RB|115.16422001616534,Saquon Barkley|RB|168.29775222155774,Senorise Perry|RB|125.74204224433954,Rashaad Penny|RB|112.0104274555792,Kerryon Johnson|RB|101.42412039466011,Corey Clement|RB|114.73436482657603
3,Chris Carson|RB|93.67922026231504,Melvin Gordon|RB|121.51485770576942,Nyheim Hines|RB|113.4546581060056,Nick Chubb|RB|142.13830885818206,Todd Gurley|RB|147.95167831024818,J.D. McKissic|RB|92.02716203935965,Phillip Lindsay|RB|157.23717078260026,Sony Michel|RB|98.74189654238718,Samaje Perine|RB|96.8399917095054,Byron Marshall|RB|129.2211892744808,Ito Smith|RB|128.49203797593114,Kenjon Barner|RB|93.87081440354814
4,Derrick Henry|RB|114.83148658810387,Dalvin Cook|RB|82.59096559609331,Marshawn Lynch|RB|83.7667986744779,James Conner|RB|101.80869013870058,Jordan Howard|RB|90.55243256290963,Kenyan Drake|RB|111.66156739249645,Latavius Murray|RB|83.38453285504654,Matt Breida|RB|80.43943838855479,LeSean McCoy|RB|102.20707642122191,Ezekiel Elliott|RB|72.72109628003102,Alex Smith|TE|89.82613518755993,Austin Ekeler|RB|74.83663735368732
5,Chris Ivory|RB|68.03024340874619,Aaron Jones|RB|78.19888609633476,Leonard Fournette|RB|66.9911659764877,Frank Gore|RB|65.59771982613505,James White|RB|86.05633416355244,Andy Janovich|RB|66.32880573454668,Duke Johnson|RB|83.69445287436004,Adrian Peterson|RB|67.21862349759215,Devonta Freeman|RB|76.21818408887934,Carlos Hyde|RB|70.3869572937952,Joe Mixon|RB|70.94629313156427,Christian McCaffrey|RB|75.78832140752961
6,Dion Lewis|RB|66.82732392502601,Dallas Goedert|TE|67.65877926098307,Philip Rivers|QB|211.3277649900681,Giovani Bernard|RB|58.30630264547265,Daniel Brown|WR|135.1345069479904,Jamaal Charles|RB|62.61449045130874,Lamar Miller|RB|88.64347701118739,Tevin Coleman|RB|96.00282917172206,Marlon Mack|RB|77.40764462991096,Isaiah Crowell|RB|88.65924221662777,Alex Collins|RB|73.34595121255948,LeGarrette Blount|RB|77.75997219348004
7,Damiere Byrd|WR|118.9854491663679,Jonathan Stewart|RB|64.2291192862251,Nick Williams|WR|125.00809424631821,Courtland Sutton|WR|138.9769148969947,Jalen Richard|RB|56.59772142161635,Ben Roethlisberger|QB|200.6361027059204,Dante Pettis|WR|142.12055828554378,Anthony Miller|WR|144.76088648230237,C.J. Anderson|RB|60.57543680742187,Spencer Ware|RB|69.77780501207428,Bilal Powell|RB|62.678161943268755,Mark Ingram|RB|78.25254777523793
8,David Johnson|TE|71.8053096359925,Tre'Quan Smith|WR|138.82537130926445,Peyton Barber|RB|73.02530435736269,Trevor Davis|WR|124.76907394932972,Marquez Valdes-Scantling|WR|138.14199274165958,Kevin White|WR|133.15650099792543,Christian Kirk|WR|142.2104274555792,Leonte Carroo|WR|126.6053111439143,Jimmy Graham|TE|79.29083592158356,Pharoh Cooper|WR|119.69411686324109,Wendell Smallwood|RB|59.085288918550454,Robert Foster|WR|138.14199274165958
9,Rob Gronkowski|TE|56.30078377103572,Cooper Kupp|WR|122.900606872561,Austin Hooper|TE|67.09035278436768,Delanie Walker|TE|69.01918195520986,Chris Herndon|TE|59.59824143792894,Mark Andrews|TE|59.59824143792894,Antonio Gates|TE|67.21283743567487,Zach Ertz|TE|66.44834236180138,Gehrig Dieter|WR|106.0495096023112,O.J. Howard|TE|75.31568123825637,Tommylee Lewis|WR|119.63215285984874,Antonio Callaway|WR|138.78059385102827
10,D.J. Moore|WR|113.4546581060056,Josh Reynolds|WR|108.7122730003261,Johnny Holton|WR|115.54043861319758,John Ross|WR|98.6253120989453,David Moore|WR|143.02537130926447,Rashad Greene|WR|101.49617710817681,Brandon Zylstra|WR|106.0495096023112,Antonio Brown|WR|112.22505398274235,JJ Jones|WR|105.44549783428035,Tim White|WR|96.78296274359526,Chad Beebe|WR|102.7162960769286,Greg Olsen|TE|58.43343389867854
11,Justin Watson|WR|89.79042485934612,J'Mon Moore|WR|90.37434744836317,Max McCaffrey|WR|98.05876067746273,Josh Malone|WR|94.99441524103986,Javon Wims|WR|97.3162960769286,Bradley Marquez|WR|93.6504438876405,Jalen Tolliver|WR|92.56977351784826,Tyreek Hill|WR|123.57057783614152,Auden Tate|WR|94.16727351784827,Charone Peake|WR|94.43296995930639,Keon Hatcher|WR|96.78296274359526,Jaydon Mickens|WR|95.63695434820413
