,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
0,Cam Newton|QB|295.5078783727915,Aaron Rodgers|QB|287.9381557629732,Drew Brees|QB|277.1670150275999,Tom Brady|QB|267.5452778332821,Russell Wilson|QB|283.1102127936778,Alvin Kamara|RB|211.59866154517533,Todd Gurley|RB|213.3558391551241,Antonio Brown|WR|154.78252699137116,Ezekiel Elliott|RB|191.7255481400155,Nick Chubb|RB|192.33665442909103,Saquon Barkley|RB|242.90637611077887,DeAndre Hopkins|WR|162.98112747651598
1,Patrick Mahomes|QB|246.18499253256275,Philip Rivers|QB|259.36138249503404,Cooper Kupp|WR|137.9253034362805,Matt Ryan|QB|280.9558923079209,Julio Jones|WR|154.64517765076926,Tyreek Hill|WR|178.51028891807076,Mike Evans|WR|152.09169361678366,Ben Roethlisberger|QB|264.4805513529602,Baker Mayfield|QB|245.82437065530883,Dak Prescott|QB|251.8580015391857,Davante Adams|WR|159.98097112089286,Derrick Henry|RB|182.53574329405194
2,Travis Kelce|TE|152.90944090449574,Mike Gesicki|TE|88.17169656609587,Josh Allen|QB|245.30842669653163,Dalvin Cook|RB|159.80298279804666,Phillip Lindsay|RB|159.06108539130014,Deshaun Watson|QB|240.30152745157469,Matthew Stafford|QB|242.15335518639506,Kirk Cousins|QB|228.4006093123652,Chris Carson|RB|157.8721101311575,Mitchell Trubisky|QB|236.3112250118777,Lamar Jackson|QB|212.92043094733003,Melvin Gordon|RB|157.5299288528847
3,Odell Beckham|WR|148.661437283776,Kenyan Drake|RB|142.36828369624823,Christian Kirk|WR|133.8952137277896,JuJu Smith-Schuster|WR|140.1996327202166,Leonard Fournette|RB|142.05558298824386,Devonta Freeman|RB|149.02659204443967,Michael Thomas|WR|144.20690323443887,Christian McCaffrey|RB|179.45916070376478,Derek Carr|QB|232.26494381845072,Kerryon Johnson|RB|155.82206019733005,James Conner|RB|173.72434506935028,Sony Michel|RB|156.37844827119358
4,Courtland Sutton|WR|128.36845744849734,Dante Pettis|WR|127.5252791427719,David Johnson|RB|174.07515481799624,Royce Freeman|RB|133.99407210884743,Joe Mixon|RB|159.55814656578212,Amari Cooper|WR|129.44059661460335,Anthony Miller|WR|124.18794324115117,Aaron Jones|RB|142.59944304816736,Brandin Cooks|WR|135.6223105887141,Adam Thielen|WR|135.77918369401286,Marquez Valdes-Scantling|WR|122.02849637082979,Keenan Allen|WR|127.29897003355028
5,James White|RB|124.16066708177621,Zach Ertz|TE|110.21667118090068,Marlon Mack|RB|134.55632231495548,Stefon Diggs|WR|120.67852495051204,Kenny Golladay|WR|115.4580172272382,Robby Anderson|WR|120.97024277887523,Jameis Winston|QB|210.10081895842683,A.J. Green|WR|114.75187994940973,Julian Edelman|WR|134.66797667739323,Tyler Lockett|WR|124.0906958597331,Calvin Ridley|WR|121.0601723763923,Carson Wentz|QB|224.35990528743773
6,Rashaad Penny|RB|119.2552137277896,Kareem Hunt|RB|112.15624446476731,Austin Ekeler|RB|109.58081867684365,Jamaal Williams|RB|108.14439768864399,LeSean McCoy|RB|107.56853821061095,Sam Darnold|QB|207.5353571794961,Matt Breida|RB|106.4022191942774,Jarvis Landry|WR|113.83068435587595,Tyler Boyd|WR|114.40060459057977,George Kittle|TE|112.60699147922332,Jared Goff|QB|234.4957539082821,O.J. Howard|TE|101.02284061912817
7,Evan Engram|TE|95.00683794869693,Tarik Cohen|RB|104.98471705329781,Justin Jackson|RB|92.49379262716232,Ito Smith|RB|99.37851898796558,Jaylen Samuels|RB|100.30461000808268,Gus Edwards|RB|103.02929952522445,Damien Williams|RB|121.06441308794226,Mark Ingram|RB|141.70627388761898,Jordan Howard|RB|104.38621628145481,Nyheim Hines|RB|104.50982905300279,Tevin Coleman|RB|125.39641458586102,Hayden Hurst|TE|84.32383683004078
8,Duke Johnson|RB|122.34722643718001,Frank Gore|RB|80.46635991306752,Chris Godwin|WR|112.44771051562843,Robert Woods|WR|112.73178504435083,Andy Dalton|QB|220.25374600915785,Latavius Murray|RB|103.61976642752327,Peyton Barber|RB|104.24765217868134,Dion Lewis|RB|79.643661962513,Alshon Jeffery|WR|113.13407203326676,Curtis Samuel|WR|102.3515460752947,Giovani Bernard|RB|75.09565132273633,Corey Clement|RB|64.61218241328801
9,Tyrell Williams|WR|96.90180236503303,Emmanuel Sanders|WR|97.93305884459748,Allen Robinson|WR|97.56094053306029,Sterling Shepard|WR|114.14430535810502,Josh Gordon|WR|99.58084139890697,T.Y. Hilton|WR|123.03546065767185,Carlos Hyde|RB|58.8834786468976,Sammy Watkins|WR|99.67302335259676,Robert Foster|WR|100.81099637082978,J.D. McKissic|RB|59.00858101967982,Tre'Quan Smith|WR|101.09518565463222,Dede Westbrook|WR|101.60538866352047
